Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Time
Random Forest,93.09021113243762,86.20689655172413,43.859649122807014,58.139534883720934,0.8614640048396854,0.19666
SVM,93.09021113243762,86.20689655172413,43.859649122807014,58.139534883720934,0.752060647307925,0.148755
Logistic Regression,93.09021113243762,92.0,40.35087719298245,56.09756097560976,0.8435609497882638,3.70246
MLP (Backpropagation),88.67562380038387,48.275862068965516,49.122807017543856,48.69565217391305,0.7904378402903811,0.142479
