"Type","Date","Name / Number","Sender","Content"
"Received","Nov 4, 2025 3:43:05 PM","NAPTHE-VNP","NAPTHE-VNP","(TB) KHUYẾN MẠI TO CHO THÁNG MỚI! Dành riêng cho Quý khách nhận được tin nhắn: Đừng quên Nạp thẻ để nhận ngay ưu đãi 20% trong HÔM NAY 04/11/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ)."
"Received","Nov 3, 2025 5:20:44 PM","NAPTHE-VNP","NAPTHE-VNP","(TB) KHUYẾN MẠI TO CHO THÁNG MỚI! Dành cho Quý khách nhận được tin nhắn :
+ Tặng ngay 20% giá trị thẻ nạp trong NGÀY MAI 04/11/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày.
+ Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe .
CSKH: 18001091 (0đ). "
"Received","Nov 2, 2025 10:06:42 AM","NAPTHE-VNP","NAPTHE-VNP","(TB) Nạp thẻ dễ dàng – Ưu đãi ngập tràn với MyVNPT! VinaPhone tặng Quý khách 50% khi nạp tiền bằng hình thức trực tiếp DUY NHẤT tại ứng dụng My VNPT trong hôm nay 02/11/2025 tại: https://my.vnpt.com.vn/adv/napdt . Khuyến mãi được sử dụng gọi và nhắn tin trong 15 ngày. CSKH:18001091 (0đ)."
"Received","Oct 30, 2025 6:08:35 PM","VinaPhone","VinaPhone","(QC) Soan DK gui 9923 de nhan ngay 7GB toc do cao dung trong 7 ngay tu goi cuoc DT30.  Gia uu dai chi 30.000d/7 ngay. Loi moi co hieu luc trong 03 ngay. Tu choi QC, soan TC gui 9923. CSKH 18001091."
"Received","Oct 30, 2025 5:08:03 PM","900","900","Tai khoan cua Quy khach da duoc nap 10,000d tu 126921 vao 30/10/2025 17:08:01. Ma giao dich 2401204867. Chi tiet lien he CSKH 18001091 (0d). Tran trong cam on!"
"Received","Oct 30, 2025 5:02:22 PM","MOMO","MOMO","Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Oct 30, 2025 2:30:36 PM","MTTQ ","MTTQ ","[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại Mbbank."
"Received","Oct 29, 2025 4:27:55 PM","MOMO","MOMO","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Oct 28, 2025 4:00:16 PM","MOMO","MOMO","Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Oct 27, 2025 3:42:00 PM","MOMO","MOMO","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
